id,name,neighbourhood_cleansed,latitude,longitude,room_type,minimum_maximum_nights,license,Illegal,,,
958,"Bright, Modern Garden Unit - 1BR/1B",Western Addition,37.76931,-122.43386,Entire home/apt,30,STR-0001256,legal,,,
5858,Creative Sanctuary,Bernal Heights,37.74511,-122.42102,Entire home/apt,60,,legal,,,
8339,Historic Alamo Square Victorian,Western Addition,37.77525,-122.43637,Entire home/apt,111,STR-0000264,legal,,,
10251,Victorian Suite in Inner Mission,Mission,37.75831,-122.41386,Entire home/apt,60,STR-0001558,legal,,,
10578,Classic Nob Hill Studio - Roof Deck,Nob Hill,37.79143,-122.41544,Entire home/apt,180,,illegal,,,
10820,Haight Buena Vista Park Garden 3BR,Haight Ashbury,37.77187,-122.43859,Entire home/apt,1125,,illegal,,,
10824,Victorian House in Hayes Valley - 3BED-2BA,Western Addition,37.77355,-122.42436,Entire home/apt,1125,,illegal,,,
10832,Union Square Modern Loft,Downtown/Civic Center,37.78574,-122.40798,Entire home/apt,365,,illegal,,,
12584,"Views, sun, 12 ft ceilings, decks, 2BR work/sleep",Inner Sunset,37.76203,-122.45455,Entire home/apt,367,,illegal,,,
14125,Gallery Residence,Mission,37.75491,-122.42246,Entire home/apt,10,STR-0000908,legal,,,
17132,Luxury 2BR suite with waterview,South of Market,37.78647,-122.39072,Entire home/apt,365,,illegal,,,
18231,Loft-like Apt./Garden (monthly only available),Noe Valley,37.74888,-122.42982,Entire home/apt,365,,illegal,,,
21334,Studio loft on top of Russian Hill,Nob Hill,37.7958,-122.41533,Entire home/apt,30,CITY REGISTRATION PENDING,legal,,,
23630,Castro Guest Suite With Continental Breakfast,Castro/Upper Market,37.75963,-122.44143,Entire home/apt,14,STR-0000205,legal,,,
24723,Apartment-like rooms in PacHeights,Western Addition,37.78716,-122.43386,Entire home/apt,31,STR-0001221,legal,,,
26408,Huge Central Victorian/Alamo Square,Western Addition,37.77478,-122.4315,Entire home/apt,1125,STR-0003425,legal,,,
27025,Modernized Edwardian Apartment in the Castro/Eureka Valley,Castro/Upper Market,37.76298,-122.43136,Entire home/apt,1125,STR-0000128,legal,,,
29373,Sunny house with garden,Bernal Heights,37.73729,-122.41163,Entire home/apt,70,STR-0000280,legal,,,
29557,gigi's bed and breakfast,Outer Richmond,37.77931,-122.50518,Entire home/apt,30,STR-0001135,legal,,,
32414,"Cozy, Sunny and Private Space",Bernal Heights,37.74025,-122.41259,Entire home/apt,30,CITY REGISTRATION PENDING,legal,,,
33578,Potrero Hill Garden Lookout,Potrero Hill,37.76451,-122.39643,Entire home/apt,14,STR-0000073,legal,,,
