neighbourhood_cleansed,entire_house,private_room,shared_room
Bayview,82,137,2
Bernal Heights,266,137,1
Castro/Upper Market,305,151,2
Chinatown,103,42,9
Crocker Amazon,34,29,1
Diamond Heights,8,8,0
Downtown/Civic Center,343,336,31
Excelsior,77,103,1
Financial District,152,53,15
Glen Park,50,15,0
Golden Gate Park,4,1,0
Haight Ashbury,228,125,52
Inner Richmond,132,83,25
Inner Sunset,112,54,1
Lakeshore,22,39,1
Marina,150,49,0
Mission,463,293,22
Nob Hill,184,134,16
Noe Valley,224,99,1
North Beach,109,73,37
Ocean View,57,69,8
Outer Mission,81,90,4
Outer Richmond,113,71,0
Outer Sunset,160,160,6
Pacific Heights,124,44,0
Parkside,81,58,6
Potrero Hill,163,83,1
Presidio,0,1,0
Presidio Heights,23,3,0
Russian Hill,144,47,4
Seacliff,15,10,0
South of Market,512,161,29
Treasure Island/YBI,1,0,0
Twin Peaks,50,24,0
Visitacion Valley,46,35,0
West of Twin Peaks,73,70,0
Western Addition,385,211,27
